index,x,y,a1,a2
0,39.14732,-77.22653,6,0,
0,39.15078,-77.23584,6,0,
0,39.15297,-77.22697,8,0,
0,39.15343,-77.23086,6,0,
0,39.15898,-77.22453,6,0,
0,39.16058,-77.22308,6,0,
1,39.19188,-77.23652,6,0,
1,39.19245,-77.24002,6,0,
1,39.20056,-77.23857,6,0,
1,39.20057,-77.23854,6,0,
1,39.20708,-77.23278,10,0,
2,39.16464,-77.19705,6,0,
2,39.16848,-77.19779,6,0,
2,39.16974,-77.20438,6,0,
2,39.16992,-77.2055,6,0,
2,39.17235,-77.20844,6,0,
2,39.17414,-77.2083,18,0,
2,39.17621,-77.21309,6,0,
2,39.17636,-77.21137,6,0,
2,39.17694,-77.21006,18,0,
2,39.17981,-77.21167,6,0,
2,39.18343,-77.21382,6,0,
3,39.17373,-77.24577,28,0,
3,39.17996,-77.2505,28,0,
3,39.18365,-77.25259,28,0,
3,39.18408,-77.25423,18,0,
3,39.18436,-77.25479,28,0,
3,39.18859,-77.25155,28,0,
3,39.1887,-77.25836,28,0,
4,39.16246,-77.21167,6,0,
4,39.16683,-77.20795,18,0,
4,39.16692,-77.20815,18,0,
4,39.16805,-77.20832,18,0,
5,39.16207,-77.25659,6,0,
5,39.16366,-77.26022,2941,0,
5,39.16564,-77.25769,6,0,
5,39.16566,-77.2521,2942,0,
5,39.16672,-77.2593,6,0,
5,39.16808,-77.25772,6,0,
6,39.1655,-77.2061,29,0,
6,39.16683,-77.20795,18,0,
6,39.16692,-77.20815,18,0,
7,39.17453,-77.20367,6,0,
7,39.17492,-77.20551,6,0,
7,39.17507,-77.20423,2942,0,
8,39.16348,-77.20323,6,0,
8,39.16476,-77.20519,6,0,
8,39.16544,-77.2047,18,0,
8,39.1655,-77.2061,29,0,
8,39.16848,-77.19779,6,0,
8,39.16974,-77.20438,6,0,
9,39.16974,-77.20438,6,0,
9,39.17086,-77.20399,24,0,
9,39.17268,-77.20366,6,0,
10,39.17799,-77.26171,15,0,
10,39.17888,-77.26176,18,0,
10,39.18117,-77.2624,18,0,
11,39.17135,-77.19848,18,0,
11,39.17175,-77.19815,6,0,
11,39.17233,-77.19763,6,0,
12,39.16862,-77.26958,29,0,
12,39.16922,-77.26523,29,0,
12,39.17114,-77.26286,18,0,
12,39.1724,-77.26978,6,0,
12,39.17243,-77.26682,29,0,
12,39.17485,-77.26641,29,0,
13,39.20237,-77.2572,14,0,
13,39.203,-77.26025,6,0,
13,39.20328,-77.25767,6,0,
14,39.14169,-77.2177,28,0,
14,39.14197,-77.21754,2941,0,
14,39.14259,-77.22091,28,0,
15,39.14845,-77.20683,18,0,
15,39.14897,-77.20766,6,0,
15,39.15017,-77.20911,18,0,
16,39.15615,-77.26462,6,0,
16,39.15728,-77.263,14,0,
16,39.15769,-77.26349,14,0,
17,39.19359,-77.27007,28,0,
17,39.19737,-77.264,18,0,
17,39.19784,-77.26308,28,0,
18,39.14047,-77.20957,28,0,
18,39.14051,-77.21252,28,0,
18,39.14067,-77.21258,28,0,
19,39.14047,-77.20957,28,0,
19,39.14051,-77.21252,28,0,
19,39.14057,-77.2095,2941,0,
20,39.19359,-77.27007,28,0,
20,39.1936,-77.2702,18,0,
20,39.19737,-77.264,18,0,
21,39.14399,-77.20165,6,0,
21,39.14489,-77.20275,14,0,
21,39.14489,-77.20267,6,0,
22,39.12378,-77.22781,6,0,
22,39.12418,-77.22353,6,0,
22,39.13093,-77.22781,6,0,
22,39.13142,-77.23212,6,0,
22,39.13462,-77.2276,21,0,
23,39.18104,-77.28141,6,0,
23,39.18479,-77.27758,6,0,
23,39.18575,-77.28301,6,0,
23,39.18582,-77.28365,6,0,
23,39.18746,-77.27781,29,0,
24,39.14653,-77.19086,6,0,
24,39.15019,-77.19026,6,0,
24,39.15056,-77.19143,6,0,
24,39.15096,-77.18861,6,0,
24,39.15136,-77.19022,24,0,
25,39.15019,-77.19026,6,0,
25,39.15056,-77.19143,6,0,
25,39.15096,-77.18861,6,0,
25,39.15136,-77.19022,24,0,
25,39.1516,-77.18865,6,0,
25,39.15253,-77.19238,6,0,
25,39.15263,-77.18895,6,0,
26,39.14207,-77.18993,6,0,
26,39.14329,-77.18878,18,0,
26,39.14492,-77.18612,6,0,
26,39.14653,-77.19086,6,0,
27,39.18224,-77.17311,6,0,
27,39.18707,-77.18451,5,0,
27,39.18962,-77.17082,6,0,
27,39.19084,-77.18003,6,0,
27,39.19323,-77.17982,6,0,
28,39.21501,-77.25119,6,0,
28,39.22406,-77.24312,6,0,
28,39.22607,-77.24725,6,0,
28,39.22744,-77.25214,6,0,
28,39.23045,-77.24477,2942,0,
29,39.22406,-77.24312,6,0,
29,39.22607,-77.24725,6,0,
29,39.23045,-77.24477,2942,0,
29,39.23191,-77.24564,6,0,
29,39.23233,-77.243,6,0,
30,39.22283,-77.25517,7,0,
30,39.22512,-77.25336,6,0,
30,39.22573,-77.25278,6,0,
31,39.16171,-77.18589,6,0,
31,39.16334,-77.181,6,0,
31,39.16364,-77.18031,6,0,
32,39.16311,-77.17882,18,0,
32,39.16334,-77.181,6,0,
32,39.16364,-77.18031,6,0,
32,39.16624,-77.18054,6,0,
33,39.22512,-77.25336,6,0,
33,39.22573,-77.25278,6,0,
33,39.22744,-77.25214,6,0,
34,39.19084,-77.18003,6,0,
34,39.19323,-77.17982,6,0,
34,39.19605,-77.1813,10,0,
