Lat,Long,cat2,x,Start
39.17573206,-77.22904223,29,0,10/1/14
39.1145091,-76.95430708,6,0,10/1/14
39.14063336,-77.19063749,10,0,10/1/14
39.10217922,-76.92987262,10,0,10/2/14
38.98580018,-77.09597671,6,0,10/2/14
38.99340523,-77.02920045,6,0,10/2/14
39.08080205,-77.30656825,5,0,10/3/14
39.0204213,-76.9766814,10,0,10/3/14
39.15242739,-77.16475447,4,0,10/3/14
39.04012149,-77.0513237,28,0,10/5/14
39.08314597,-77.2050239,14,0,10/5/14
39.0781546,-77.00394202,6,0,10/5/14
39.04012563,-77.05270552,24,0,10/5/14
39.08418275,-77.15283983,10,0,10/6/14
39.15407384,-77.16094341,10,0,10/7/14
39.0043095,-77.12068771,6,0,10/7/14
38.98728544,-77.10109057,6,0,10/7/14
39.14731637,-77.22653095,6,0,10/8/14
39.00947753,-77.04895869,14,0,10/8/14
39.13419478,-77.25290901,10,0,10/8/14
39.11294822,-77.16453922,21,0,10/9/14
39.17734552,-77.15179879,2941,0,10/9/14
39.08193745,-76.95355573,27,0,10/9/14
39.20237001,-77.25720046,14,0,10/9/14
39.03998562,-77.05985383,17,0,10/9/14
39.03317857,-77.12135133,3,0,10/9/14
39.17883254,-77.26734863,6,0,10/9/14
39.12617607,-77.23494055,6,0,10/10/14
39.14911024,-77.08056151,2942,0,10/10/14
39.04846207,-76.98064197,5,0,10/10/14
39.12121443,-77.17562856,7,0,10/10/14
39.04108573,-77.00084506,14,0,10/10/14
39.16975472,-77.22222218,2941,0,10/10/14
39.00169772,-77.12782301,29,0,10/10/14
39.19783907,-77.26308259,28,0,10/11/14
39.18855365,-77.20294611,4,0,10/11/14
38.98792688,-77.0772355,28,0,10/11/14
39.15067674,-77.20405895,14,0,10/11/14
39.00363249,-77.01147993,10,0,10/11/14
39.1444024,-77.18508426,14,0,10/11/14
39.16214847,-77.28163516,6,0,10/11/14
39.05344677,-76.97476765,10,0,10/11/14
39.03845286,-77.05233935,22,0,10/11/14
39.02309902,-77.01686047,28,0,10/12/14
39.07065704,-76.95279363,6,0,10/12/14
39.17855374,-77.27876148,29,0,10/12/14
39.0068888,-76.98051267,10,0,10/12/14
39.00296246,-76.99092287,12,0,10/12/14
39.00294193,-77.00021523,5,0,10/12/14
39.08141817,-77.06153629,5,0,10/12/14
38.96017479,-77.08654777,6,0,10/12/14
39.09664939,-77.19942612,8,0,10/12/14
39.04554603,-76.99197541,29,0,10/12/14
39.04071862,-77.0710126,6,0,10/12/14
39.04924152,-77.08192876,2942,0,10/12/14
39.07690834,-76.92949349,2942,0,10/12/14
39.18574901,-77.2830096,6,0,10/13/14
39.17167456,-77.25172821,29,0,10/13/14
39.10415899,-77.19229687,6,0,10/13/14
39.02197521,-77.14664246,6,0,10/13/14
39.10192449,-77.17716794,8,0,10/13/14
39.14070833,-77.22854414,18,0,10/13/14
39.00881431,-76.9840946,6,0,10/14/14
39.03610824,-77.02783848,4,0,10/14/14
39.04604328,-76.95187321,22,0,10/14/14
39.01771663,-77.00354139,5,0,10/14/14
39.08693261,-77.14346324,18,0,10/14/14
39.03648839,-77.03820371,21,0,10/14/14
39.05079362,-77.12644316,18,0,10/15/14
39.14013266,-77.18337115,18,0,10/15/14
39.13552865,-77.19927161,14,0,10/15/14
39.22405987,-77.24311604,6,0,10/15/14
39.04006364,-77.05550434,2941,0,10/15/14
39.00078756,-76.98925825,6,0,10/15/14
38.98756554,-77.01807541,6,0,10/15/14
39.0374459,-76.99495152,5,0,10/15/14
38.96986061,-77.11218532,6,0,10/15/14
39.08364006,-77.08805676,28,0,10/15/14
39.1779935,-77.26171377,5,0,10/15/14
39.00633308,-77.1184115,6,0,10/15/14
39.07099337,-77.10196654,8,0,10/15/14
39.10548708,-77.15406857,6,0,10/15/14
39.19322966,-77.17982709,6,0,10/16/14
39.01994186,-77.0509125,6,0,10/16/14
39.06688918,-77.11446945,10,0,10/16/14
39.16214847,-77.28163516,6,0,10/16/14
39.11566169,-77.16615992,14,0,10/16/14
39.15127316,-77.06679477,6,0,10/16/14
39.00614475,-76.99757354,18,0,10/16/14
39.08466673,-77.16686526,2,0,10/16/14
39.0857024,-77.15196931,24,0,10/17/14
39.13976022,-77.19074974,11,0,10/17/14
39.05806645,-77.05002379,27,0,10/17/14
38.99115669,-77.00192489,2942,0,10/17/14
38.9978846,-77.02469802,6,0,10/17/14
39.05847592,-77.12640626,20,0,10/17/14
39.06484054,-76.95337954,29,0,10/17/14
39.14897037,-77.20765652,6,0,10/17/14
38.95276144,-77.09749639,5,0,10/17/14
39.05315153,-77.11666842,6,0,10/17/14
39.1884319,-77.23030416,14,0,10/17/14
39.01246011,-77.01249408,26,0,10/18/14
38.98772182,-77.0169822,14,0,10/18/14
39.10656342,-77.18690403,14,0,10/18/14
39.08771471,-77.0632946,4,0,10/18/14
39.11768358,-77.26155916,28,0,10/18/14
39.00346923,-77.04652554,8,0,10/18/14
39.07417608,-77.21559725,14,0,10/18/14
39.09067721,-77.14038573,8,0,10/18/14
38.98891243,-77.09736659,6,0,10/18/14
39.15989956,-77.27742198,28,0,10/18/14
38.99415751,-76.99257591,28,0,10/18/14
39.07202457,-77.09470281,24,0,10/19/14
39.10947425,-76.93513269,18,0,10/19/14
38.98225311,-77.0931961,29,0,10/19/14
39.159355,-77.28049803,8,0,10/19/14
39.01599895,-76.98832023,14,0,10/19/14
39.02802482,-77.07466135,6,0,10/19/14
39.18016407,-77.21002407,28,0,10/19/14
39.02025796,-77.0034339,14,0,10/19/14
39.03998562,-77.05985383,29,0,10/19/14
39.11173513,-76.92922973,6,0,10/20/14
39.03799668,-77.07622799,2941,0,10/20/14
38.99690256,-77.00736377,5,0,10/20/14
39.11784299,-77.20315515,6,0,10/20/14
39.00745921,-77.06291465,28,0,10/20/14
39.06753399,-76.98432587,6,0,10/20/14
39.20299595,-77.2602498,6,0,10/20/14
39.06616455,-77.11477102,5,0,10/20/14
39.17155684,-77.40256707,2,0,10/21/14
39.13438018,-77.20667424,26,0,10/21/14
38.99393828,-77.03157952,2941,0,10/21/14
39.01212198,-77.00263134,2942,0,10/21/14
38.99543874,-77.02916275,24,0,10/21/14
39.02309377,-77.07406418,29,0,10/21/14
39.16880219,-77.24871579,6,0,10/21/14
39.08763227,-77.07963169,2942,0,10/21/14
39.02404303,-77.04697512,6,0,10/22/14
39.0763466,-76.94006159,6,0,10/22/14
38.99091173,-77.15572321,28,0,10/22/14
39.16982558,-77.18523869,2942,0,10/22/14
39.04650808,-76.97716454,14,0,10/22/14
39.22544204,-77.26477722,18,0,10/22/14
39.19919648,-77.24199359,4,0,10/22/14
39.08948301,-77.14241056,6,0,10/22/14
39.16707638,-77.263533,14,0,10/22/14
39.16973694,-77.20438104,18,0,10/22/14
39.16832932,-77.21000504,2942,0,10/22/14
39.10765782,-76.93831107,5,0,10/23/14
39.02489476,-77.12532141,18,0,10/23/14
39.05658485,-77.10874545,2,0,10/23/14
38.99341888,-77.02667333,22,0,10/23/14
39.02034972,-77.01270713,8,0,10/23/14
39.1108703,-76.9723142,6,0,10/23/14
39.02034972,-77.01270713,6,0,10/23/14
38.99906432,-76.98933275,18,0,10/23/14
39.03622162,-77.04988426,2942,0,10/23/14
39.12549167,-77.15787815,10,0,10/23/14
39.10947425,-76.93513269,6,0,10/23/14
39.14831585,-77.09028405,10,0,10/23/14
39.06275607,-77.11725269,5,0,10/23/14
39.07644711,-77.08064088,20,0,10/23/14
39.0810857,-76.94632036,22,0,10/23/14
39.00770711,-77.02021466,24,0,10/24/14
39.12587176,-77.15199978,5,0,10/24/14
39.14258808,-77.2209081,6,0,10/24/14
39.18924656,-77.20434893,8,0,10/24/14
39.11178148,-77.23528052,29,0,10/24/14
39.0306144,-77.1052005,6,0,10/24/14
39.04088812,-76.98794782,29,0,10/24/14
39.11697477,-77.24960891,14,0,10/24/14
39.17170151,-77.23599297,18,0,10/24/14
38.99546093,-77.02033305,6,0,10/24/14
39.17800194,-77.07145412,14,0,10/25/14
39.03199348,-77.048378,24,0,10/25/14
39.11287186,-77.18476725,2942,0,10/25/14
39.02197521,-77.14664246,6,0,10/25/14
39.03982783,-76.99064597,6,0,10/25/14
39.06304526,-76.97240849,4,0,10/25/14
38.99886936,-76.99823608,22,0,10/25/14
39.14070833,-77.22854414,8,0,10/25/14
39.05575519,-76.97087369,14,0,10/25/14
39.06689757,-77.07829295,29,0,10/25/14
39.1965221,-77.27573322,8,0,10/25/14
39.17886244,-77.26740597,27,0,10/25/14
39.07832574,-76.94107195,6,0,10/25/14
39.08327275,-76.94235603,5,0,10/25/14
38.9642646,-77.09949983,10,0,10/26/14
39.08282517,-77.14895955,3,0,10/26/14
