latitude,longitude,mag,depth
38.297,142.373,9,29
41.815,143.91,8.3,27
36.281,141.111,7.9,42.6
38.058,144.59,7.7,18.6
41.774,143.593,7.4,33
33.184,137.071,7.4,10
33.2,137.09,7.4,14
43.752,130.666,7.3,566
37.89,143.949,7.3,31
38.435,142.842,7.3,32
33.07,136.618,7.2,14
38.276,142.039,7.2,36
38.27,142.03,7.2,40
37.1557,144.6611,7.1,35
33.167,137.944,7.1,292
38.276,141.588,7.1,42
37.812,142.619,7,10
43.006,145.119,7,39
38.107,144.896,7,11
37.552,142.214,7,22
38.034,143.264,7,23
38.849,141.568,7,68
42.77,143.092,6.9,107
36.164,141.526,6.9,27
39.03,140.881,6.9,7.8
42.587,130.703,6.9,577.7
40.887,144.944,6.9,12
39.03,140.881,6.9,7
36.164,141.526,6.9,27
43.046,146.837,6.8,61.1
34.083,132.526,6.8,50
42.9,145.228,6.8,35
39.802,141.464,6.8,108
41.892,143.754,6.8,25
29.218,129.782,6.8,34
31.456,138.072,6.8,365.3
36.808,134.85,6.8,350.4
34.1,132.54,6.8,42
39.802,141.464,6.8,108
38.9056,142.0317,6.8,35
35.456,133.134,6.7,10
44.268,148.393,6.7,33
42.648,144.57,6.7,32
38.969,143.37,6.7,2.8
37.336,136.588,6.7,8
39.955,142.205,6.7,33
40.273,142.779,6.7,30
37.34,136.54,6.7,8
35.38,133.17,6.7,9
39.8558,142.8808,6.7,23
31.0009,128.8729,6.7,12
33.205,137.227,6.6,10
37.226,138.779,6.6,16
34.064,141.491,6.6,27.8
33.807,130.131,6.6,10
36.023,142.269,6.6,16
37.535,138.446,6.6,12
37.001,140.401,6.6,11
32.821,140.395,6.6,53
39.241,142.463,6.6,25.7
37.52,138.46,6.6,12
33.8,130.26,6.6,8.5
29.9377,138.8325,6.5,402
37.0052,142.4525,6.5,20
33.901,139.376,6.5,10
39.402,141.089,6.5,123.8
42.45,144.38,6.5,25
34.251,141.406,6.5,16
38.089,142.122,6.5,29
37.745,141.59,6.5,32
38.296,142.808,6.5,15
36.004,142.067,6.5,49.3
36.166,141.562,6.5,6.8
37.594,142.648,6.5,20
33.202,137.101,6.5,15
33.93,139.38,6.5,15
29.424,131.421,6.4,33
41.046,142.308,6.4,38
44.833,129.923,6.4,586.3
38.886,141.977,6.4,39
33.171,137.072,6.4,384.9
29.351,140.27,6.4,11
37.359,143.351,6.4,35
36.419,141.876,6.4,32.3
37.244,144.003,6.4,11
41.824,143.445,6.4,29
39.851,143.437,6.4,13
33.13,131.15,6.4,140
42.736,131.003,6.3,563.3
33.6842,131.8249,6.3,79
30.491,137.73,6.3,485.3
40.282,143.124,6.3,33
29.28,138.97,6.3,426.1
30.986,141.966,6.3,9
37.318,138.808,6.3,10
36.405,140.839,6.3,32
33.134,131.145,6.3,140
42.245,134.719,6.3,392
37.712,141.184,6.3,32.3
37.623,142.155,6.3,50.7
39.003,142.29,6.3,42.7
37.93,143.802,6.3,35
37.357,144.725,6.3,35.9
36.586,141.823,6.3,24.7
39.031,142.349,6.3,45.4
35.994,141.808,6.3,21
36.942,140.955,6.3,38
39.646,143.164,6.3,11
37.73,141.39,6.3,40
38.919,141.831,6.3,36
38.898,141.815,6.3,41
42.946,144.866,6.3,42
39.697,142.369,6.3,27
36.541,142.425,6.3,19
43.9097,147.9748,6.3,49
36.6408,137.8875,6.2,9
44.6419,148.7838,6.2,61
35.552,140.464,6.2,62.3
44.79,147.196,6.2,140.4
43.393,132.267,6.2,481.1
36.178,141.545,6.2,19
44.448,148.689,6.2,28
38.095,142.492,6.2,40.6
37.788,144.233,6.2,25.4
37.211,141.601,6.2,40.1
38.29,142.813,6.2,51.7
39.03,142.284,6.2,56.3
37.961,142.724,6.2,11.7
36.569,141.486,6.2,39.6
37.014,138.376,6.2,9.3
34.743,138.264,6.2,40.4
37.671,141.652,6.2,47
35.417,140.575,6.2,15
35.579,140.305,6.2,43
38.415,142.011,6.2,19
41.898,142.639,6.2,38
31.14,130.014,6.2,163
40.483,139.055,6.2,10
40.136,142.168,6.2,29
38.772,141.88,6.2,39
37.914,143.764,6.2,32
39.8244,143.5871,6.2,10
30.7856,142.9722,6.2,6.05
41.0272,143.1649,6.1,22
29.933,138.887,6.1,421.9
41.1585,142.1309,6.1,41
29.368,132.082,6.1,10
34.221,139.131,6.1,10
34.319,139.26,6.1,10
43.11,146.118,6.1,42.6
41.174,142.249,6.1,61.4
38.415,140.996,6.1,6
42.423,144.613,6.1,33
42.918,144.836,6.1,41.8
33.14,137.2,6.1,21.2
37.318,138.816,6.1,10.5
42.139,144.344,6.1,32.8
38.564,142.987,6.1,10
38.481,143.175,6.1,21.1
38.503,142.026,6.1,48.4
29.645,140.951,6.1,84
37.812,144.233,6.1,40.6
37.337,144.237,6.1,47.3
37.934,144.529,6.1,39.5
36.823,141.824,6.1,28.4
37.047,144.541,6.1,41
37.367,143.017,6.1,17
39.005,142.633,6.1,17.4
37.249,141.159,6.1,38
38.047,141.72,6.1,15
37.285,143.907,6.1,14
37.365,141.368,6.1,34
34.943,141.132,6.1,15
36.256,141.338,6.1,28
39.859,142.017,6.1,15
37.396,141.341,6.1,35
43.892,146.145,6.1,103
29.908,140.204,6.1,139.6
37.401,142.29,6.1,15
36.765,143.77,6.1,9
40.781,144.761,6.1,10
43.892,142.479,6.1,187
35.723,141.637,6.1,8
39.808,143.099,6.1,15
37.325,141.791,6.1,31
31.019,129.997,6.1,145
36.156,141.756,6.1,23.3
40.335,143.288,6.1,18
34.22,139.17,6.1,12.5
35.57,140.46,6.1,51.1
41.5615,142.0308,6.1,42
39.526,143.167,6,14
37.739,141.471,6,39
44.4438,149.1667,6,28
34.9118,139.4186,6,153
42.853,131.572,6,513.6
31.183,131.206,6,10
36.51,140.983,6,47.1
42.489,144.765,6,33
44.071,148.054,6,33
30.092,141.768,6,10
43.097,145.923,6,86
44.189,148.51,6,33
43.706,147.805,6,62.5
41.988,144.576,6,33
36.428,141.008,6,31
37.284,138.885,6,14.1
45.417,149.343,6,95
37.197,142.664,6,9
41.794,143.553,6,31
43.224,133.526,6,441.2
45.156,137.446,6,326
37.186,142.051,6,22
38.345,142.648,6,23
35.712,140.875,6,47.5
37.442,141.195,6,49.2
38.017,142.657,6,42.8
37.469,141.176,6,37.3
39.14,142.967,6,27.6
39.185,142.76,6,26.5
36.398,141.864,6,52.8
39.342,142.872,6,27.1
37.785,142.456,6,14
37.576,142.237,6,28
38.17,144.032,6,11
35.687,140.695,6,10
35.272,138.582,6,9
38.506,141.9,6,42.9
38.315,142.434,6,22
38.922,141.821,6,42
39.583,143.34,6,22
34.39,139.26,6,14
38.48,141.03,6,6
39.8185,143.4861,6,7
31.2373,142.0157,6,6
31.1806,141.6,6,8
