Pickup_latitude,Pickup_longitude,duration,total_adjusted,total,Fare_amount,Tip_amount,Trip_distance,RateCodeID
40.65706253,-73.9832077,119.88,76.92,79.5,79.5,0,17.2,1
40.72303391,-74.03652954,107.9,91.775,94.46,78.5,15.96,17.9,1
40.85447693,-73.90563202,99.5,85.815,88.56,73.5,15.06,18.3,1
40.80119324,-73.91623688,34.02,67.765,70,70,0,14.9,5
40.74254608,-73.82540131,89.62,76.825,78.76,65.5,13.26,12.9,1
40.70053101,-73.80741119,26.37,67.426,70,65,5,17.16,4
40.72161102,-73.84441376,37.07,70.0285,72.16,60,12.16,14.21,4
40.74793625,-73.87763977,23.5,58.1595,60,60,0,12.27,5
40.80593491,-73.96520996,8.77,58.286,58.31,58.31,0,0.16,5
40.6657486,-73.9370575,97.88,56.24,57.5,57.5,0,8.4,1
40.7735672,-73.91168976,81.45,72.477,74.49,57,17.49,13.42,1
40.78975296,-73.9522934,56.95,54.1755,57,57,0,18.83,1
40.63753128,-73.95870972,75.17,69.9195,71.58,56,15.58,11.07,1
40.77973938,-73.77736664,52.92,57.561,60,55,5,16.26,1
40.68462372,-73.97853088,39,52.114,55,55,0,19.24,1
40.69290161,-73.94010925,54.58,85.705,88.3,54.5,33.8,17.3,1
40.78773499,-73.95381165,41.72,65.065,68.05,54.5,13.55,19.9,1
40.67525482,-73.87187195,75.78,52.49,54.5,54.5,0,13.4,1
40.73250198,-73.95309448,78.38,65.6925,67.95,54,13.95,15.05,1
40.84825134,-73.93771362,62.98,65.135,67.7,54,13.7,17.1,1
40.81880188,-73.95232391,52.25,59.1265,61.66,53.5,8.16,16.89,1
40.70389557,-73.85501862,76.82,52,53.5,53.5,0,10,1
40.83121109,-73.94217682,18.55,61.7655,63,53,10,8.23,5
40.830616,-73.92084503,33.35,50.1665,53,53,0,18.89,1
40.74375916,-73.92218018,82.85,50.904,52.5,52.5,0,10.64,1
40.80517197,-73.93907166,42.97,64.075,66.58,52,14.58,16.7,2
40.68553162,-73.95436096,81.87,63.814,65.2,52,13.2,9.24,1
40.79274368,-73.94085693,42.2,61.0615,63.67,52,11.67,17.39,2
40.80225372,-73.95782471,70.73,60.995,63.65,52,11.65,17.7,2
40.81083298,-73.94332123,37.07,60.995,63.65,52,11.65,17.7,2
40.68667603,-74.0018692,66.67,60.735,62.76,52,10.76,13.5,1
40.86156464,-73.88105011,38.6,60.3595,63.07,52,11.07,18.07,1
40.80419159,-73.9479599,33.08,59.9755,62.56,52,10.56,17.23,2
40.801651,-73.95736694,35.3,56.255,59,52,7,18.3,2
40.69303131,-73.9658432,40.48,55.305,57,52,5,11.3,5
